Subject,Task,Task id,Delegability,Trust,Importance,Difficulty,Self-efficacy,Intrinsic-motivation,Accountability,Goal-mastery-orientation,Why delegate?,Why not delegate?
16,Writing a birthday card to one of your parents.,6,3,5,5,1,5,5,5,3,,"This is a personally meaningful thing to me; I love my parents, and need to express it through my own handwritten words."
17,Breaking up with your romantic partner.,18,2,3,4,5,2,1,1,2,,
17,Texting a joke to a friend.,25,3,3,2,1,4,4,3,3,,It’s weird to text a friend if you’re not the one doing it  
17,Cleaning your house.,26,3,3,4,4,3,2,4,3,,There’s an extent to which I would allow a machine to do something for me because at a point it just becomes lazy
17,Driving to work.,12,1,3,5,2,5,1,4,3,I hate driving,
17,Answering emails from customers at your job.,30,2,3,5,4,2,1,4,3,,
17,Picking a movie to watch with a group of friends.,8,2,3,2,4,3,2,2,2,,
17,Finding and scheduling events for you to attend in your free time.,15,2,3,3,2,4,4,3,3,,
18,Finding and scheduling events for you to attend in your free time.,15,1,2,4,3,4,1,2,1,If an AI could comprehend what events I want to attend it would save a lot of time.,
18,Writing a birthday card to one of your parents.,6,3,5,5,4,5,5,1,3,,It's a heartfelt thing and I want it to be real.
18,Reading a novel.,29,3,5,5,4,5,5,2,4,,I don't do audio books.
18,Writing your wedding vows.,9,3,5,5,5,4,5,5,4,,They're supposed to be your own feelings/words.
18,Drawing or painting something meaningful to you.,10,1,2,3,5,1,3,2,3,I don't paint anyways.,
18,Deciding what people to invite to a party.,11,2,4,5,5,5,5,5,5,,
18,Finding and choosing a new roomate.,2,1,3,5,4,4,2,5,4,If the program could pick an ideal roommate who not?,
19,Deciding what people to invite to a party.,11,1,2,4,2,5,2,3,2,"I would be curious to see who was picked. Also, I think an AI program would pick a more diverse group of friends/acquaintances. On my own, I fear I would choose the same people repeatedly. Also, by letting he computer choose, there would be less ego in the decision, allowing me to have more fun at the event",
19,Voting in a federal election.,5,2,3,5,1,5,5,2,5,,
19,Answering emails from customers at your job.,30,2,2,5,3,5,3,5,4,,
19,Finding and picking a new roommate.,19,1,2,4,4,4,1,4,3,"I think that compatibility (for co-existence,) can be greatly aided by in-depth questionnaires, plus the work involved trying to do this on my own would be daunting (an AI system could screen many more people)",
19,Reading a novel.,29,3,4,5,1,5,5,1,4,,"I enjoy this, I don’t need any help and don’t want it"
19,Filling out and submitting a job application.,27,1,2,5,4,4,3,4,4,"I haven’t appLIED FOR A JOB in 20 years, gotta think a modern AI system would do a better job than me",
19,"Planning and booking a weekend vacation: destination, travel, accommodations, events.",23,2,1,4,2,4,3,4,4,,
